"sex","age","age_cat","race","juv_fel_count","juv_misd_count","juv_other_count","priors_count","days_b_screening_arrest","c_days_from_compas","c_jail_in","c_jail_out","c_charge_degree","c_charge_desc","is_recid","decile_score","score_text","c_charge_violent","c_time_in_jail"
"Male",20,"Less than 25","Caucasian",0,0,1,0,-1,1,2014-04-23 12:04:56,2014-04-24 01:19:27,"F","Possession Burglary Tools",0,4,"Low","N",1
"Female",49,"Greater than 45","African-American",0,0,0,0,0,1,2014-12-28 01:14:08,2014-12-29 03:38:25,"F","Grand Theft in the 3rd Degree",0,9,"High","N",1
"Female",52,"Greater than 45","African-American",0,0,0,8,-1,1,2013-05-01 09:03:54,2013-06-13 10:32:00,"F","arrest case no charge",0,9,"High","O",43
"Male",28,"25 - 45","African-American",0,0,0,9,-1,1,2013-02-07 01:24:11,2013-02-23 05:32:34,"F","Driving While License Revoked",1,3,"Low","N",16
"Male",29,"25 - 45","Caucasian",0,0,0,8,0,0,2014-05-27 04:11:21,2014-05-27 12:59:16,"F","Possession of Cocaine",0,8,"High","N",0
"Male",52,"Greater than 45","Caucasian",0,0,0,0,-1,1,2013-05-19 08:34:21,2013-05-20 07:03:39,"M","Battery",0,1,"Low","V",1
"Female",38,"25 - 45","African-American",0,0,0,8,-1,1,2014-07-29 11:53:16,2014-07-30 09:51:35,"F","Possession Of Alprazolam",0,8,"High","N",1
"Female",50,"Greater than 45","Caucasian",0,0,0,1,0,1,2014-09-20 01:05:44,2014-09-20 02:05:05,"M","Resist/Obstruct W/O Violence",0,1,"Low","N",0
"Male",26,"25 - 45","African-American",0,0,0,1,-1,1,2013-03-03 11:28:54,2013-04-02 09:22:27,"M","Viol Pretrial Release Dom Viol",1,6,"Medium","N",30
"Male",21,"Less than 25","African-American",0,0,0,1,-8,8,2013-02-12 01:28:50,2013-02-20 09:54:56,"F","arrest case no charge",0,8,"High","O",8
"Male",54,"Greater than 45","African-American",0,0,0,4,0,0,2013-02-13 04:44:29,2013-02-14 05:24:58,"F","Possession of Cocaine",1,3,"Low","N",1
"Male",32,"25 - 45","African-American",0,0,0,1,-1,1,2014-12-01 11:57:48,2014-12-23 09:13:18,"M","Assault",1,6,"Medium","V",22
"Male",47,"Greater than 45","Other",0,0,0,5,-1,1,2014-06-22 09:02:48,2014-06-23 08:55:08,"F","Aggravated Assault W/Dead Weap",0,1,"Low","V",1
"Male",19,"Less than 25","African-American",0,0,0,0,-1,1,2014-06-27 01:29:27,2014-07-02 03:14:57,"F","Grand Theft in the 3rd Degree",0,9,"High","N",5
"Female",32,"25 - 45","Caucasian",0,0,0,0,0,0,2014-10-04 02:59:48,2014-10-17 03:41:21,"M","Battery",0,2,"Low","V",13
"Male",40,"25 - 45","Caucasian",0,0,0,1,-1,1,2014-10-29 11:29:31,2014-10-30 08:36:55,"M","Battery",0,2,"Low","V",1
"Male",27,"25 - 45","Caucasian",0,0,0,2,-1,1,2014-09-16 11:16:42,2014-09-17 08:16:23,"F","Poss/Sell/Del/Man Amobarbital",1,7,"Medium","N",1
"Female",28,"25 - 45","Hispanic",0,0,0,0,-1,1,2013-04-04 03:19:29,2013-04-06 12:28:11,"F","arrest case no charge",0,2,"Low","O",2
"Female",48,"Greater than 45","African-American",0,0,0,0,0,0,2013-01-02 02:49:09,2013-01-02 07:16:44,"M","DUI Property Damage/Injury",0,1,"Low","N",0
"Male",29,"25 - 45","African-American",0,0,0,2,-1,1,2013-10-24 05:41:59,2013-10-26 03:05:42,"F","arrest case no charge",0,6,"Medium","O",2
